ID Nobs Nfilt obs_first theta_E	mb		dt_input 
SN554 1 1 60737.35584045548 0.25189489393560655 22.105261704890708 7.750379361502297
SN555 9 4 61143.370730364826 0.6914078762778305 23.088679744416517 21.205945215154117
SN557 27 5 60628.321182102736 0.3121759882112353 19.945519824389677 1.1441184298171736
SN558 6 3 60398.3912452264 1.049096828453531 21.907826511154187 40.63444972401059
SN562 7 3 61009.321067677745 0.1503814327540191 23.29380330884353 3.7945550583256384
SN564 4 2 61113.27030287713 2.523837802072065 21.385332078007075 80.42757185432994
SN565 2 2 60344.0523910515 0.38058022502335215 22.947779529829376 3.60459044857251
SN569 6 3 61075.32407845737 0.34243609964797717 22.467982423852554 6.308369267807333
SN570 1 1 60714.29108997384 1.3892306080136378 21.92993081660974 38.10508109140377
SN573 2 1 61160.42240152549 0.2061419323247363 21.28728905565001 3.078400457485914
SN576 5 4 60745.309835902546 0.7023294294816445 22.322013154552913 7.7323375815308815
SN577 6 3 60476.170952792294 0.28861358408261484 23.126844181828268 14.3251946456108
SN578 6 4 60524.4033777504 0.6638226857007972 22.72110577718073 2.542826617469151
SN580 0 0 60484.43043961751 0.5999106053313115 22.486789073285745 29.894917292756244
SN582 9 3 60925.33416727054 0.5801614726636757 23.284055231960465 56.44201966736903
SN584 5 4 61031.30299194131 0.9683514062525697 22.82879211199785 488.2336290879772
SN585 5 3 60628.17929808404 0.2391960108869553 22.88057495637387 3.9908686219633522
SN586 4 2 60691.18441564564 0.3986504539763743 22.222174901177354 0.540183085731901
SN587 10 4 60897.34453363637 0.4086162833644511 22.795021129952865 4.3605562141541245
SN592 4 3 60733.39335308109 0.5450778245624192 23.44372043799514 33.072649452839485
SN593 10 4 60381.404430884955 0.5542858042311989 23.370942528677126 42.319319688811916
SN600 11 4 60941.3543086404 0.5514797730785408 22.99195691163331 14.571543775189227
SN603 3 3 60960.30053708413 0.6360386194583084 21.850946766312845 2.867229980681921
SN604 4 2 60684.30911578336 0.4788634934096617 22.80425338952916 9.441020376538159
SN605 2 2 60366.36992474478 0.5763613993641798 21.796570412573807 6.240270949440936
SN606 8 3 60423.165911730415 0.1850808146667857 21.352879838719232 3.4937200477703163
SN613 5 4 60895.336554147325 0.9698344240544594 22.749913299459458 22.25980028192763
SN615 5 4 60732.31425260817 0.5543555083602855 22.06668614356257 18.61339429439431
SN616 4 3 60808.23342071361 0.34248678087045686 21.078332932627262 7.921464583042943
SN617 12 4 60881.249947038705 0.8244893949579359 22.490385592594627 6.8237513170520225
